	Ghana_Northern-Region	Benin_Atlantique-Dept	Ghana_Ashanti-Region	Nigeria_Ogun-State	Cameroon_Adamawa	CAR_Ombella-MPoko	DRC_Haut-Uele	Uganda_Eastern-Region	Kenya_Western-Prov	Kenya_Nyanza-Prov	Gabon_Haut-Ogooue	DRC_Kinshasa	Tanzania_Morogoro-Region	Mozambique_Cabo-Delgado	Zambia_Eastern-Prov	Malawi_Southern-Region	Mozambique_Maputo
Ghana_Northern-Region	26116.0	3237.0	5074.0	4545.0	4970.0	0.0	5427.0	5026.0	0.0	4740.0	562.0	1182.0	0.0	1418.0	1483.0	0.0	1340.0
Benin_Atlantique-Dept	0.0	101952.0	7763.0	7500.0	9111.0	0.0	11094.0	10526.0	0.0	9627.0	638.0	1511.0	0.0	1421.0	1594.0	0.0	1478.0
Ghana_Ashanti-Region	0.0	0.0	49209.0	35125.0	20421.0	0.0	16331.0	14228.0	0.0	13988.0	909.0	1749.0	0.0	1272.0	1721.0	0.0	1604.0
Nigeria_Ogun-State	0.0	0.0	0.0	85710.0	21213.0	0.0	16872.0	15110.0	0.0	13960.0	1003.0	1824.0	0.0	1255.0	1769.0	0.0	1451.0
Cameroon_Adamawa	0.0	0.0	0.0	0.0	67630.0	0.0	19852.0	16744.0	0.0	15815.0	1040.0	1884.0	0.0	1471.0	1965.0	0.0	1734.0
CAR_Ombella-MPoko	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DRC_Haut-Uele	0.0	0.0	0.0	0.0	0.0	0.0	45926.0	48503.0	0.0	42868.0	1215.0	2342.0	0.0	2239.0	3257.0	0.0	2256.0
Uganda_Eastern-Region	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32292.0	0.0	58352.0	1179.0	2252.0	0.0	2134.0	3502.0	0.0	2211.0
Kenya_Western-Prov	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Kenya_Nyanza-Prov	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33246.0	1185.0	2541.0	0.0	2355.0	3922.0	0.0	2167.0
Gabon_Haut-Ogooue	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18214.0	5203.0	0.0	411.0	804.0	0.0	469.0
DRC_Kinshasa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25553.0	0.0	1449.0	2146.0	0.0	1424.0
Tanzania_Morogoro-Region	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mozambique_Cabo-Delgado	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8940.0	15213.0	0.0	4927.0
Zambia_Eastern-Prov	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13159.0	0.0	4178.0
Malawi_Southern-Region	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mozambique_Maputo	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28901.0
